iris|saison|energie_conso_mwh|energie_eco_mwh|taux_eco|nb_jours_eco|start_hc|end_hc|hour_array|flow_array|puissance_array
751114401|Hiver|60.1|0.5|0.9|3|02:09:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|8943,10287,10097,9108,7259,6683,5774,4313,2731,1996,1258,918,1262,2558,5184,8910,9063|0, 3500, 3500, 3500, 3500, 3500, 3500, 3500, 3500, 3500, 2625, 2625, 2625, 3500, 3500, 3500, 0
751114401|Ete|60.1|0.5|0.9|3|02:09:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|2225,2074,2099,2116,1549,1263,1605,739,478,181,123,102,153,420,716,1606,1631|0, 0, 0, 0, 0, 0, 3500, 3500, 3500, 3500, 2625, 2625, 2625, 0, 0, 0, 0
751134905|Hiver|73.5|-1.3|-1.7|-6|23:50:00|23:00:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|74,73,70,65,63,65,58,66,76,82,76,99,76,69,67,70,75|0, 26600, 26600, 26600, 26600, 26600, 26600, 26600, 26600, 26600, 26600, 26600, 26600, 26600, 26600, 26600, 0
751134905|Ete|73.5|-1.3|-1.7|-6|23:50:00|23:00:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|333,277,342,229,148,63,84,54,56,56,57,65,70,65,109,155,173|0, 0, 0, 0, 0, 0, 26600, 26600, 26600, 26600, 26600, 26600, 26600, 0, 0, 0, 0
751135201|Hiver|82.3|5.7|6.9|25|01:11:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|5290,6222,6056,5004,4146,3897,3135,2560,1262,760,490,462,592,1336,3394,5782,5522|0, 28406, 28406, 28406, 28406, 28406, 28406, 28406, 28406, 21032, 21032, 21032, 21032, 28406, 28406, 28406, 0
751135201|Ete|82.3|5.7|6.9|25|01:11:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|11431,12763,12885,10950,7794,6419,6635,4670,2490,1469,912,867,1280,3256,7456,12609,12559|0, 0, 0, 0, 0, 0, 28406, 28406, 28406, 21032, 21032, 21032, 21032, 0, 0, 0, 0
751135202|Hiver|26.9|1.8|6.8|25|00:31:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|4723,5658,5806,4440,3592,3184,2728,2064,1137,627,308,301,643,1405,3472,6266,5864|0, 8244, 8244, 8244, 8244, 8244, 8244, 8244, 6183, 6183, 6183, 6183, 6183, 8244, 8244, 8244, 0
751135202|Ete|26.9|1.8|6.8|25|00:31:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|3957,4417,4519,3770,2774,2417,2527,1959,958,478,335,231,472,1272,2881,5473,4558|0, 0, 0, 0, 0, 0, 8244, 8244, 6183, 6183, 6183, 6183, 6183, 0, 0, 0, 0
751135204|Hiver|31.2|1.6|5.1|19|00:47:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|2175,2242,2224,1795,1418,1203,1022,660,348,149,114,109,192,557,1499,2383,2208|0, 7548, 7548, 7548, 7548, 7548, 7548, 7548, 5640, 5640, 5640, 5640, 5640, 7548, 7548, 7548, 0
751135204|Ete|31.2|1.6|5.1|19|00:47:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|964,1314,1266,945,589,607,648,388,150,72,57,76,94,338,744,1503,1072|0, 0, 0, 0, 0, 0, 7548, 7548, 5640, 5640, 5640, 5640, 5640, 0, 0, 0, 0
751135205|Hiver|11.3|0.7|6.2|22|00:38:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|1331,1466,1413,1185,771,871,791,773,188,123,76,126,94,385,884,1304,1197|0, 3056, 3056, 3056, 3056, 3056, 3056, 3056, 2254, 2254, 2254, 2254, 2254, 3056, 3056, 3056, 0
751135205|Ete|11.3|0.7|6.2|22|00:38:00|05:24:00|17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9|1712,1725,1690,1276,977,997,924,587,286,142,112,74,127,591,1166,2083,1804|0, 0, 0, 0, 0, 0, 3056, 3056, 2254, 2254, 2254, 2254, 2254, 0, 0, 0, 0
